PRIVATESHOPSEARCH_BUY	Satın almak
PRIVATESHOPSEARCH_COUNT	Miktar
PRIVATESHOPSEARCH_ITEMNAME	İsim
PRIVATESHOPSEARCH_ITEMTYPE	Öğeler
PRIVATESHOPSEARCH_JOB	Sınıf
PRIVATESHOPSEARCH_LEVEL	Seviye
PRIVATESHOPSEARCH_PRICE	Fiyat
PRIVATESHOPSEARCH_REFINE	Öğe Seviyesi
PRIVATESHOPSEARCH_SEARCH	Aramak
PRIVATESHOPSEARCH_SEARCH_BAR	Aramak
PRIVATESHOPSEARCH_SELECT	Seçme
PRIVATESHOPSEARCH_SELLER	satıcı
NEWPRIVATE_SHOP_SEARCH_ERROR1	Aramanıza göre ürün bulunamadı.
NEWPRIVATE_SHOP_SEARCH_PREMIUM	Premium Durum:
NEWPRIVATE_SHOP_SEARCH_RESULT_PP	sayfa başına sonuç
NEW_PRIVATESHOPSEARCH_SEARCH_FILTER	Filtre
MEW_PRIVATESHOPSEARCH_HEADER_1	Eşya
MEW_PRIVATESHOPSEARCH_HEADER_2	Miktar
MEW_PRIVATESHOPSEARCH_HEADER_3	İsim
MEW_PRIVATESHOPSEARCH_HEADER_4	Mağaza zamanı
MEW_PRIVATESHOPSEARCH_HEADER_5	Ürün fiyatı
NEW_PRIVATESHOPSEARCH_MALE_NAME	Erkek
NEW_PRIVATESHOPSEARCH_WOMEN_NAME	Kadın
NEW_PRIVATESHOPSEARCH_RESET_BUTTON_TT	Filtreyi Sıfırla
NEW_PRIVATESHOPSEARCH_APPLY_BUTTON_TT	Filtreyi Uygula
NEWPRIVATE_SHOP_SEARCH_ERROR1	Aramanıza göre ürün bulunamadı.
NEWPRIVATE_SHOP_SEARCH_PREMIUM	Premium Durum:
NEWPRIVATE_SHOP_SEARCH_RESULT_PP	sayfa başına sonuç
NEW_PRIVATESHOPSEARCH_SEARCH_FILTER	Filtre
MEW_PRIVATESHOPSEARCH_HEADER_1	Eşya
MEW_PRIVATESHOPSEARCH_HEADER_2	Miktar
MEW_PRIVATESHOPSEARCH_HEADER_3	İsim
MEW_PRIVATESHOPSEARCH_HEADER_4	Mağaza zamanı
MEW_PRIVATESHOPSEARCH_HEADER_5	Ürün fiyatı
NEW_PRIVATESHOPSEARCH_MALE_NAME	Erkek
NEW_PRIVATESHOPSEARCH_WOMEN_NAME	Kadın
NEW_PRIVATESHOPSEARCH_RESET_BUTTON_TT	Filtreyi Sıfırla
NEW_PRIVATESHOPSEARCH_APPLY_BUTTON_TT	Filtreyi Uygula
NEW_OPTIONS_TITLE_TEXT	seçenekler
NEW_DROP_ITEM_TITLE	Öğeyle ne yapmak istiyorsunuz?
NEW_DROP_ITEM_TITLE_DESTROY	İmha Süreci
NEW_DROP_ITEM_TITLE_MULTISELL	Çoklu Satış Süreci
NEW_DROP_ITEM_MES_DESTROY	Bu öğeyi gerçekten yok etmek istiyor musunuz?
NEW_DROP_ITEM_LARGAR	Damla
OFFLINE_SHOP_BASE_TIME_TEXT	Kalan zaman:
OFFLINE_SHOP_BASE_PAGINATION_TEXT	{}. Sayfa
OFFLINE_SHOP_CHANGE_SHOP_NAME	Mağaza Adını Değiştir
OFFLINE_SHOP_REMOVE_YANG	Parayı Çek
OFFLINE_SHOP_HISTORY_NO_VALUES	Mağazanızla ilgili herhangi bir hareket bulunmamaktadır.
OFFLINE_SHOP_HISTORY_ITEM_NAME	Eşya satıldı
OFFLINE_SHOP_HISTORY_DATETIME	Tarih
OFFLINE_SHOP_HISTORY_PRICE	Kar(-3%)
OFFLINE_SHOP_OPEN_SHOP_TEXT	Açık
OFFLINE_SHOP_CREATE_SHOP	Özel Mağaza Oluştur
OFFLINE_SHOP_CREATE_SHOP_TIME	Mağaza Süresi:
OFFLINE_SHOP_CREATE_SHOP_PRICE	Fiyat:
OFFLINE_SHOP_CREATE_SHOP_BUTTON	Mağaza Oluştur
OFFLINE_SHOP_EXIT_CREATE_SHOP_BUTTON	İptal
OFFLINE_SHOP_CREATE_BASE_TEXT	Özel Mağaza Adı
OFFLINE_SHOP_HAS_CLOSED_MSG	Mağazanız kapalı.
OFFLINE_SHOP_TELEPORT_TOOLTIP	Özel Mağazaya Işınla
OFFLINE_SHOP_OPEN_SHOP_TOOLTIP	Özel Mağazayı Aç
OFFLINE_SHOP_CLOSE_SHOP_TOOLTIP	Özel Mağazayı Kapat
OFFLINE_SHOP_LEFT_TIME_BASE_TEXT	Kalan zaman:
OFFLINE_SHOP_SALES	Satış geçmişi
OFFLINE_SHOP_SALES_BUYER	Alıcı
OFFLINE_SHOP_SALES_ITEM	Eşya
OFFLINE_SHOP_SALES_ITEM_COUNT	Sayı
OFFLINE_SHOP_SALES_YANG	Yang
OFFLINE_SHOP_SALES_CHEQUE	Won
OFFLINE_SHOP_SALES_DATE	Tarih
OFFLINE_SHOP_OPEN	açık dükkan
OFFLINE_SHOP_CLOSE	kapalı dükkan
MY_OFFLINE_SHOP	Benim Dükkanım
OFFLINE_SHOP_OPEN_TITLE	Çevrimdışı bir mağaza açın
OFFLINE_SHOP_OPEN_TIME_1	1 gün
OFFLINE_SHOP_OPEN_TIME_2	7 gün
OFFLINE_SHOP_OPEN_TIME_3	15 gün
OFFLINE_SHOP_OPEN_TIME_4	1 ay
OFFLINESHOP_BUTTON_TOOLTIP	Çevrimdışı mağaza
